abandon v.放弃
dentist n.牙科医生
deny v.否认;拒绝
depart v.离开;出发
department n.部;部门
departure n.离开;出发
depend v.依赖;依靠
dependent adj.依赖的 n.受抚养者
depict v.描述;描绘
deportation n.驱逐出境
deposit n.存款;押金 v.存放
deposition n.沉积;作证
deprive v.剥夺;使丧失
depth n.深度;深奥
deputy n.副手;代表
derive v.得到;源于
descend v.下降;下去
descendant n.后代;后裔
descent n.下降;血统
describe v.描述;描绘
description n.描述;形容
desert n.沙漠 v.遗弃
deserve v.应受;值得
design n.设计;图案 v.设计
designer n.设计师;策划者
desirable adj.值得要的;可取的
desire v.愿望;要求 n.愿望
desk n.桌子;办公桌
desolate adj.荒凉的;孤独的
despair n.绝望;失望 v.绝望
desperate adj.绝望的;拼命的
despise v.鄙视;轻视
despite prep.尽管;不管
dessert n.甜点;甜食
destination n.目的地;终点
destiny n.命运;天数
destroy v.破坏;消灭
destruction n.破坏;毁灭
destructive adj.破坏性的;毁灭的
detach v.分离;分开
detail n.细节;详情 v.详述
detailed adj.详细的;精细的
detain v.拘留;留住
detect v.侦查;发现
detection n.侦查;发觉
determine v.决定;确定
determined adj.坚决的;果断的
determination n.决心;决定
deviate v.偏离;违背
device n.装置;设备
devil n.魔鬼;家伙
devise v.设计;发明
devote v.奉献;致力
devoted adj.投入的;热爱的
devotion n.献身;忠诚
dew n.露水;甘露
diabetes n.糖尿病
diagnosis n.诊断;判断
diagram n.图表;图解
dial n.拨号盘 v.拨号
dialect n.方言;土语
dialogue n.对话;对白
diameter n.直径
diamond n.钻石;菱形
diary n.日记;日记簿
dictate v.口述;命令
dictation n.听写;口述
dictionary n.字典;词典
die v.死亡;灭亡
diet n.饮食;节食
differ v.差异;不同
difference n.差异;不同
different adj.不同的;差异的
differently adv.不同地;差异地
difficult adj.困难的;艰难的
difficulty n.困难;难题
dig v.挖;掘
digest v.消化 n.文摘
digital adj.数字的;数码的
dignity n.尊严;尊贵
dilemma n.困境;进退两难
dimension n.尺寸;维
diminish v.减少;降低
dine v.吃饭;用餐
dinner n.晚餐;宴会
dioxide n.二氧化物
dip v.浸;蘸
diploma n.毕业文凭;文凭
diplomat n.外交官;外交家
diplomatic adj.外交的;有策略的
direct adj.直接的 v.指挥
direction n.方向;指导
directly adv.直接地;立即
director n.导演;主任
directory n.姓名地址录;目录
dirt n.污垢;泥土
dirty adj.脏的;下流的
disable v.使无能;使残废
disadvantage n.不利条件;弱点
disagree v.不同意;不一致
disagreement n.不一致;争论
disappear v.消失;失踪
disappoint v.使失望;使破灭
disappointed adj.失望的;受挫折的
disappointing adj.令人失望的
disappointment n.失望;沮丧
disaster n.灾难;灾祸
disastrous adj.灾难性的;悲惨的
discard v.丢弃;抛弃
discharge v.释放;排出 n.放电
disciplinary adj.纪律的;训练的
discipline n.纪律;训练
disclose v.揭露;暴露
discourse n.演讲;论述 v.讲道
discourteous adj.不礼貌的;无礼的
discover v.发现;暴露
discovery n.发现;发觉
discreet adj.谨慎的;小心的
discrepancy n.差异;矛盾
discrete adj.离散的;分立的
discretion n.谨慎;选择
discrimination n.歧视;辨别力
discuss v.讨论;论述
discussion n.讨论;论述
disease n.疾病;病害
disgust n.厌恶;憎恶 v.厌恶
disgusted adj.厌恶的;憎恶的
dish n.盘;菜肴
dishearten v.使沮丧;使失去勇气
dishonest adj.不诚实的;欺诈的
dishonor n.不光彩;丢脸 v.丢脸
dislike v./n.不喜欢;厌恶
dismay n.惊慌;失望 v.使惊慌
dismiss v.解散;开除
disorder n.混乱;失调
display v./n.陈列;显示
displease v.使不愉快;使生气
disposal n.处理;安排
dispose v.安排;处理
disposition n.安排;倾向
dispute n.争论;争端 v.争论
disregard v./n.漠视;忽略
disrupt v.使混乱;打乱
disruption n.混乱;中断
dissatisfaction n.不满;不满意
dissatisfy v.使不满;使失望
dissolve v.溶解;解散
distance n.距离;远处
distant adj.远的;疏远的
distinct adj.明显的;不同的
distinction n.区别;卓越
distinguish v.区分;辨别
distinguished adj.卓越的;著名的
distort v.扭曲;曲解
distortion n.扭曲;变形
distract v.使分心;打扰
distraction n.分心;娱乐
distribute v.分配;分发
distribution n.分配;分发
district n.区域;行政区
disturb v.打扰;扰乱
disturbance n.打扰;扰乱
ditch n.沟;沟渠
dive v.跳水;潜水
diver n.潜水员;跳水者
diverge v.分歧;分开
divergence n.分歧;差异
diverse adj.不同的;多样的
diversify v.多样化;变化
diversion n.转移;改道
divert v.转移;娱乐
divide v.分割;分歧
dividend n.红利;股息
divine adj.神的;绝妙的
division n.分割;除法
divorce n.离婚;分离 v.离婚
divorcee n.离婚者
do v.做;干
document n.文件;证件
dog n.狗;狗项圈
dollar n.美元;元
domestic adj.国内的;家庭的
dominance n.优势;统治
dominant adj.统治的;显著的
dominate v.统治;支配
donate v.捐赠;赠送
donation n.捐赠;捐款
donor n.捐赠者;赠与者
door n.门;入口
dorm n.宿舍;睡眠
dormant adj.休眠的;静止的
dose n.剂量;一剂
dot n.点;小点 v.打点
double adj.双的 n.两个
doubt n./v.怀疑;疑虑
doubtful adj.怀疑的;可疑的
doubtless adv.无疑的;必定的
down adv.向下
down adv.向下;沿着
downstairs adv.在楼下;往楼下
downtown adv.在市区;往市区
dozen n.一打;十二个
draft n.草稿;汇票 v.起草
drag v.拖;拉
dragon n.龙;凶暴的人
drain v.排去;放水 n.排水
drama n.戏剧;戏剧性事件
dramatic adj.戏剧的;戏剧性的
drastic adj.激烈的;猛烈的
draw v.画;拉
drawback n.缺点;不利条件
drawer n.抽屉
drawing n.绘画;绘图
dream n.梦;梦想 v.做梦
dress n.服装 v.穿衣
drift v.漂流;飘浮
drill v.钻孔;训练 n.钻;训练
drink v.喝;饮 n.饮料
drip v.滴下;漏水 n.滴
drive v.开车;驱动 n.驱动
driver n.司机;驾驶员
drop n.滴;下降 v.掉落
drought n.干旱;旱灾
drown v.淹没;溺死
drug n.药;毒品
drum n.鼓;桶
drunk adj.醉的;陶醉的
dry adj.干的;枯燥的 v.干
duck n.鸭;鸭肉 v.躲避
due adj.预期的;应支付的
dull adj.枯燥的;不鲜明的
dumb adj.哑的;无言的
dump v.倾倒;倾卸
duplicate n.副本 v.复制
durable adj.耐用的;持久的
duration n.持续;期间
dusk n.黄昏;薄暮
dust n.灰尘;尘土 v.掸灰
duty n.责任;税
dwarf n.矮子;矮星 v.使显得矮小
dwell v.居住;细想
dweller n.居民;居住者
dwelling n.住宅;寓所
dying adj.垂死的;临终的
dynamic adj.动态的;有活力的
dynasty n.王朝;朝代
each adj.每一的 pron.每个
eager adj.渴望的;热切的
eagle n.鹰
ear n.耳朵;听力
early adj.早的 adv.早地
earn v.赚得;赢得
earnest adj.认真的;热心的
earnings n.收入;收益
earth n.地球;土地
earthenware n.陶器
earthquake n.地震
ease n.容易;舒适 v.减轻
east n.东;东方 adj.东方的
eastern adj.东方的;东部的
easy adj.容易的;舒适的
eat v.吃;吃饭
eccentric adj.古怪的;异乎寻常的
echo n.回声;反响 v.发回声
eclipse n.日蚀;月蚀
economic adj.经济的;合算的
economical adj.经济的;节约的
economics n.经济学
economy n.经济;节约
edge n.边缘;刀口 v.使锐利
edible adj.可食的;适宜食用的
edit v.编辑;校订
edition n.版;版本
editor n.编辑;编者
educate v.教育;培养
educated adj.受过教育的;有教养的
education n.教育;培养
educational adj.教育的;有教育意义的
effect n.效果;作用
effective adj.有效的;实在的
effectively adv.有效地;实际上
effects n.个人财物;影响
efficiency n.效率;效能
efficient adj.高效的;能干的
effort n.努力;尝试
effortless adj.不费力的;不紧张的
ego n.自我;自尊心
either adj.任一的 adv.也
elaborate v.详细说明 adj.详细的
elaborately adv.精细地;复杂地
elaboration n.详细说明;精心制作
elapse v.流逝;过去
elastic adj.弹性的 n.松紧带
elbow n.肘;弯管
elder adj.年龄较大的 n.长者
elderly adj.较老的;老年的
elect v.选举;选择
election n.选举;选择权
electric adj.电的;电动的
electrical adj.电的;电器的
electricity n.电;电能
electron n.电子
electronic adj.电子的
electronics n.电子学
elegant adj.优雅的;优美的
element n.元素;成分
elementary adj.基本的;初级的
elephant n.象;大象
elevator n.电梯;升降机
eleven num.十一
eligible adj.合格的;有资格的
eliminate v.消除;排除
elite n.精华;中坚分子
else adv.别的;其他的
elsewhere adv.在别处;向别处
e-mail n.电子邮件
emanate v.发出;散发
emancipate v.解放;释放
emancipation n.解放;释放
embankment n.路堤;堤岸
embargo n.禁运;禁令
embark v.着手;登船
embarrass v.使尴尬;使为难
embarrassment n.尴尬;窘迫
embed v.嵌入;深植
embody v.体现;包含
embrace v.拥抱;包含
emerge v.出现;露头
emergency n.紧急情况;紧急状态
emigrate v.移民;移居
emigration n.移民;移居
emission n.发射;散发
emit v.发出;散发
emperor n.皇帝
emphasis n.重点;强调
emphasize v.强调;着重
empire n.帝国;帝王统治的国家
empirical adj.经验主义的;以观察或实验为基础的
employ v.雇用;使用
employee n.雇工;雇员
employer n.雇主
employment n.雇用;使用
empty adj.空的 v.倒空
enable v.使能够;使成为可能
enact v.制定;扮演
enclosure n.围住;围栏
encounter v./n.遭遇;遇到
encourage v.鼓励;激励
encouragement n.鼓励;激励
encouraging adj.鼓励的;激励的
end n.末端;结束 v.结束
endanger v.危及;危害
endeavor n.努力;尽力 v.尽力
ending n.结束;结尾
endless adj.无止境的;无限的
endorse v.背书;赞同
endorsement n.背书;赞同
endure v.忍受;持久
enemies n.敌人;仇敌
enemy n.敌人;仇敌
energetic adj.精力旺盛的;积极的
energy n.能量;精力
enforce v.实施;强制
engage v.雇;忙于
engaged adj.忙碌的;订婚的
engagement n.订婚;约定
engine n.引擎;发动机
engineer n.工程师;设计者
engineering n.工程;工程学
enhance v.提高;增加
enjoy v.欣赏;享受
enjoyable adj.愉快的;有趣的
enjoyment n.享受;欣赏
enlarge v.扩大;放大
enlargement n.扩大;放大
enlighten v.启发;启蒙
enormous adj.巨大的;庞大的
enough adj.足够的 adv.足够地
enquire v.询问;调查
enrollment n.登记;注册
ensure v.保证;确保
entail v.使成为必需;遗传
enter v.进入;参加
enterprise n.企业;事业心
entertainment n.娱乐;款待
enthusiasm n.热情;热心
enthusiastic adj.热情的;热心的
entire adj.整个的;全部的
entitle v.给...权利;给...称号
entity n.实体;存在
entrance n.入口;进入
entrepreneur n.企业家;中间商
entry n.进入;入口
envelope n.信封;封套
environment n.环境;外界
environmental adj.环境的
environmental adj.环境的;有关环境的
envisage v.正视;想象
enzyme n.酶
epidemic n.流行病;传染病
episode n.事件;插曲
epoch n.纪元;时期
equal adj.相等的;平等的 n.同等的人 v.等于
equality n.平等;同等
equation n.方程式;等式
equator n.赤道
equip v.装备;配备
equipment n.装备;设备
equivalent adj.相等的 n.等价物
era n.时代;纪元
erase v.擦掉;抹去
erode v.腐蚀;侵蚀
erosion n.腐蚀;侵蚀
erroneous adj.错误的;不正确的
error n.错误;误差
erupt v.爆发;喷发
escalate v.使升级;扩大
escape v.逃跑;逸出 n.逃跑
especially adv.特别;尤其
essay n.文章;散文
essence n.本质;实质
essential adj.必要的;本质的
essentially adv.本质上;基本上
establish v.建立;设立
establishment n.建立;公司
estate n.财产;庄园
esteem n.尊重;敬重 v.尊敬
estimate n.估计 v.估计
eternal adj.永恒的;永世的
ethics n.伦理学;道德标准
ethnic adj.种族的;民族的
evidence n.证据;迹象
evident adj.明显的;明白的
evidently adv.显然;明显地
evil adj.邪恶的 n.邪恶;坏事
evolution n.演变;进化
evolve v.发展;进化
exact adj.精确的;确切的
exactly adv.恰好;精确地
exaggerate v.夸大;夸张
exam n.考试;测试
examination n.检查;考试
examine v.检查;考试
example n.例子;榜样
exceed v.超过;超越
exceedingly adv.非常;极其
excel v.擅长;胜过
excellence n.优秀;卓越
excellent adj.优秀的;卓越的
except prep.除...之外
exception n.例外;异议
exceptional adj.异常的;例外的
excess n.超过;过量 adj.过量的
excessive adj.过多的;过分的
exchange n./v.交换;交流
excite v.使兴奋;激发
excited adj.兴奋的;激动的
excitement n.兴奋;刺激
exciting adj.令人兴奋的
exclaim v.呼喊;惊叫
exclude v.排除;排斥
exclusion n.排除;排斥
exclusive adj.独有的;排他的
exclusively adv.专门地;独占地
excursion n.远足;短途旅行
excuse n.借口 v.原谅
execute v.执行;处决
execution n.实行;执行
executive n.行政官;经理 adj.行政的
exemplify v.是...的典型
exempt adj.免除的 v.免除
exemption n.免除;豁免
exercise n.练习;运动 v.练习
exert v.运用;施加
exhale v.呼气;发出
exhaust v.使筋疲力尽 n.排气
exhibition n.展览;展览会
exile n.流放;被流放者
exist v.存在;生存
existence n.存在;生存
exit n.出口;退出 v.退出
exotic adj.异国的;外来的
expand v.扩大;扩张
expansion n.扩大;扩张
expect v.预料;预期
expectation n.预期;期望
expected adj.预期的;预料的
expedition n.远征;探险队
expeditious adj.迅速的;敏捷的
expel v.驱逐;开除
expenditure n.支出;消费
expense n.损失;代价
expenses n.开支;花费
expensive adj.昂贵的
experience n.经验;经历 v.经历
experiment n.实验 v.尝试
experimental adj.实验的;尝试的
expert n.专家;行家 adj.熟练的
expertise n.专家知识;专门技能
expiration n.期满;呼气
expire v.期满;终止
explain v.解释;说明
explanation n.解释;说明
explicit adj.明确的;直率的
explode v.爆炸;爆发
exploit v.开发;剥削
exploration n.探索;探测
explore v.探索;探测
explosion n.爆炸;爆发
explosive adj.爆炸的 n.爆炸物
export n.输出;出口 v.输出
exporter n.出口商
expose v.暴露;曝光
exposition n.展览会;解释
exposure n.暴露;曝光
express v.表达;快递 adj.特快的
expression n.表达;表情
extend v.延长;扩展
extension n.延长;扩展
extensive adj.广泛的;广阔的
extent n.程度;范围
